num_threads,execution_time,,
1,0.636042,,
2,0.739119,,
3,0.63335,,Thread —ptimo
4,0.618616,,131
5,0.458293,,
6,0.553154,,
7,0.474863,,
8,0.498704,,
9,0.482201,,
10,0.660458,,
11,0.503706,,
12,0.520105,,
13,0.459724,,
14,0.50461,,
15,0.46901,,
16,0.484874,,
17,0.479881,,
18,0.465298,,
19,0.426551,,
20,0.487886,,
21,0.424704,,
22,0.428114,,
23,0.403771,,
24,0.443205,,
25,0.404638,,
26,0.420459,,
27,0.455276,,
28,0.423147,,
29,0.452812,,
30,0.425083,,
31,0.405815,,
32,0.384689,,
33,0.425878,,
34,0.398148,,
35,0.460349,,
36,0.404423,,
37,0.379108,,
38,0.379971,,
39,0.464063,,
40,0.42909,,
41,0.381087,,
42,0.372022,,
43,0.371517,,
44,0.406538,,
45,0.404959,,
46,0.379635,,
47,0.367873,,
48,0.355301,,
49,0.396363,,
50,0.385176,,
51,0.379766,,
52,0.377005,,
53,0.370438,,
54,0.344408,,
55,0.3858,,
56,0.374795,,
57,0.373702,,
58,0.378717,,
59,0.374024,,
60,0.345479,,
61,0.397731,,
62,0.367601,,
63,0.398134,,
64,0.389089,,
65,0.368409,,
66,0.443998,,
67,0.383666,,
68,0.400576,,
69,0.36077,,
70,0.369307,,
71,0.37849,,
72,0.35587,,
73,0.365264,,
74,0.37447,,
75,0.367794,,
76,0.347153,,
77,0.383348,,
78,0.356809,,
79,0.374302,,
80,0.363597,,
81,0.38624,,
82,0.382579,,
83,0.376696,,
84,0.400661,,
85,0.364748,,
86,0.39306,,
87,0.361073,,
88,0.361328,,
89,0.352037,,
90,0.387509,,
91,0.349585,,
92,0.368742,,
93,0.347601,,
94,0.332885,,
95,0.357131,,
96,0.355364,,
97,0.383669,,
98,0.335757,,
99,0.367844,,
100,0.355356,,
101,0.374025,,
102,0.364715,,
103,0.344017,,
104,0.360842,,
105,0.336568,,
106,0.344006,,
107,0.352325,,
108,0.343325,,
109,0.370683,,
110,0.358241,,
111,0.334208,,
112,0.351794,,
113,0.350651,,
114,0.347075,,
115,0.325184,,
116,0.324468,,
117,0.33789,,
118,0.380159,,
119,0.346129,,
120,0.333823,,
121,0.376393,,
122,0.352048,,
123,0.327309,,
124,0.329648,,
125,0.340041,,
126,0.362898,,
127,0.34537,,
128,0.342566,,
129,0.361019,,
130,0.34531,,
131,0.302434,,
132,0.325384,,
133,0.336494,,
134,0.343472,,
135,0.362912,,
136,0.342749,,
137,0.336147,,
138,0.349199,,
139,0.330417,,
140,0.342392,,
141,0.345088,,
142,0.326445,,
143,0.357209,,
144,0.356474,,
145,0.356771,,
146,0.363137,,
147,0.334793,,
148,0.337209,,
149,0.342333,,
150,0.367575,,
151,0.355095,,
152,0.387767,,
153,0.315571,,
154,0.372978,,
155,0.362991,,
156,0.344713,,
157,0.355973,,
158,0.347105,,
159,0.354147,,
160,0.342646,,
161,0.339307,,
162,0.345385,,
163,0.335068,,
164,0.338614,,
165,0.377181,,
166,0.345969,,
167,0.335418,,
168,0.341656,,
169,0.338578,,
170,0.34434,,
171,0.32804,,
172,0.305033,,
173,0.355213,,
174,0.345291,,
175,0.310364,,
176,0.323551,,
177,0.333572,,
178,0.327003,,
179,0.324187,,
180,0.341332,,
181,0.365444,,
182,0.305401,,
183,0.318442,,
184,0.331626,,
185,0.337833,,
186,0.33718,,
187,0.343325,,
188,0.356605,,
189,0.318938,,
190,0.343891,,
191,0.317493,,
192,0.332972,,
193,0.336205,,
194,0.332265,,
195,0.348325,,
196,0.308567,,
197,0.312248,,
198,0.311666,,
199,0.321373,,
200,0.371652,,